nucleosome	1.3284805058379383e-46	FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
DNA bending complex	1.3284805058379383e-46	FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
DNA packaging complex	3.8907121702211535e-45	FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
protein-DNA complex	3.2225858027604054e-35	FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
chromatin	2.1606037753010245e-34	FBgn0004400,FBgn0039044,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
chromosomal part	3.9271825278891914e-28	FBgn0004400,FBgn0005654,FBgn0011659,FBgn0028525,FBgn0039044,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
chromosome	8.587935638489017e-25	FBgn0004400,FBgn0005654,FBgn0011659,FBgn0028525,FBgn0039044,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084
non-membrane-bounded organelle	1.3424129589762922e-15	FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0023170,FBgn0026372,FBgn0028473,FBgn0028525,FBgn0032138,FBgn0033507,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0260441
intracellular non-membrane-bounded organelle	1.3424129589762922e-15	FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0023170,FBgn0026372,FBgn0028473,FBgn0028525,FBgn0032138,FBgn0033507,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0260441
intracellular organelle part	1.4743745113181004e-14	FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0026372,FBgn0026753,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0032138,FBgn0032782,FBgn0033413,FBgn0033507,FBgn0034879,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0260441,FBgn0263018
organelle part	3.436800518815024e-14	FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0026372,FBgn0026753,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0032138,FBgn0032782,FBgn0033413,FBgn0033507,FBgn0034879,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0260441,FBgn0263018
organelle	2.369818929995212e-11	FBgn0003302,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0016701,FBgn0020618,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0260441,FBgn0263018
intracellular organelle	4.674827620774053e-11	FBgn0003302,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0260441,FBgn0263018
macromolecular complex	1.7475601554991887e-9	FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0010741,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022023,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0026372,FBgn0026753,FBgn0027945,FBgn0028525,FBgn0030421,FBgn0034879,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039857,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018
intracellular part	1.0680740675871208e-8	FBgn0001332,FBgn0003302,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022023,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027872,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0030421,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034177,FBgn0034800,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0050392,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018
intracellular	5.866952580238393e-8	FBgn0001332,FBgn0003302,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022023,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027872,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0030421,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034177,FBgn0034800,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0050392,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018
cell	4.2861014866324017e-7	FBgn0001332,FBgn0003302,FBgn0003748,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0010620,FBgn0010894,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0016701,FBgn0020618,FBgn0022023,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027872,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0030421,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034177,FBgn0034800,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0041087,FBgn0050392,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018
cell part	4.2861014866324017e-7	FBgn0001332,FBgn0003302,FBgn0003748,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0004404,FBgn0005654,FBgn0010409,FBgn0010620,FBgn0010894,FBgn0011207,FBgn0011236,FBgn0011272,FBgn0011659,FBgn0015521,FBgn0015756,FBgn0016701,FBgn0020618,FBgn0022023,FBgn0022986,FBgn0023170,FBgn0024984,FBgn0025630,FBgn0026372,FBgn0026753,FBgn0027786,FBgn0027872,FBgn0027945,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028538,FBgn0028978,FBgn0029137,FBgn0029825,FBgn0029849,FBgn0030320,FBgn0030421,FBgn0031434,FBgn0032138,FBgn0032782,FBgn0033183,FBgn0033413,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034177,FBgn0034800,FBgn0034879,FBgn0035321,FBgn0035980,FBgn0037121,FBgn0037686,FBgn0037899,FBgn0038473,FBgn0038746,FBgn0038834,FBgn0039044,FBgn0039757,FBgn0039828,FBgn0039857,FBgn0040305,FBgn0041087,FBgn0050392,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0052756,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018
nucleus	0.0000010024084344094528	FBgn0003302,FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004400,FBgn0005654,FBgn0011207,FBgn0011236,FBgn0011659,FBgn0020618,FBgn0022986,FBgn0024984,FBgn0025630,FBgn0028406,FBgn0028426,FBgn0028473,FBgn0028525,FBgn0028978,FBgn0029825,FBgn0030320,FBgn0031434,FBgn0032138,FBgn0033183,FBgn0033507,FBgn0033631,FBgn0033749,FBgn0034879,FBgn0037121,FBgn0038473,FBgn0038746,FBgn0039044,FBgn0039828,FBgn0040305,FBgn0051611,FBgn0051618,FBgn0052756,FBgn0053814,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053835,FBgn0053838,FBgn0053841,FBgn0053844,FBgn0053847,FBgn0053850,FBgn0053862,FBgn0053865,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909,FBgn0066084,FBgn0083987,FBgn0263018
cytosolic large ribosomal subunit	0.0001340338072947899	FBgn0010409,FBgn0011272,FBgn0015756,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0039857,FBgn0066084
ribosomal subunit	0.0004050327338886182	FBgn0004404,FBgn0010409,FBgn0011272,FBgn0015521,FBgn0015756,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0038834,FBgn0039757,FBgn0039857,FBgn0066084,FBgn0260441
protein complex	0.0006064300312848603	FBgn0005654,FBgn0010741,FBgn0011659,FBgn0020618,FBgn0022023,FBgn0024984,FBgn0026753,FBgn0027945,FBgn0028525,FBgn0030421,FBgn0034879,FBgn0037121,FBgn0039044,FBgn0051611,FBgn0051613,FBgn0051618,FBgn0053100,FBgn0053803,FBgn0053806,FBgn0053809,FBgn0053812,FBgn0053814,FBgn0053815,FBgn0053817,FBgn0053820,FBgn0053823,FBgn0053826,FBgn0053829,FBgn0053832,FBgn0053833,FBgn0053835,FBgn0053836,FBgn0053838,FBgn0053839,FBgn0053841,FBgn0053842,FBgn0053844,FBgn0053845,FBgn0053847,FBgn0053848,FBgn0053850,FBgn0053851,FBgn0053854,FBgn0053857,FBgn0053860,FBgn0053862,FBgn0053863,FBgn0053865,FBgn0053866,FBgn0053883,FBgn0053885,FBgn0053887,FBgn0053889,FBgn0053901,FBgn0053903,FBgn0053905,FBgn0053909
cytosolic ribosome	0.0015592614770992717	FBgn0004404,FBgn0010409,FBgn0011272,FBgn0015521,FBgn0015756,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0038834,FBgn0039757,FBgn0039857,FBgn0066084,FBgn0260441
cytosolic part	0.013096143106614173	FBgn0004404,FBgn0010409,FBgn0011272,FBgn0015521,FBgn0015756,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0038834,FBgn0039757,FBgn0039857,FBgn0066084,FBgn0260441
large ribosomal subunit	0.0328100425276086	FBgn0010409,FBgn0011272,FBgn0015756,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0039857,FBgn0066084
U1 snRNP	0.037331250615996105	FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187
ribonucleoprotein complex	0.047367692988596964	FBgn0003916,FBgn0004185,FBgn0004186,FBgn0004187,FBgn0004404,FBgn0010409,FBgn0011272,FBgn0015521,FBgn0015756,FBgn0020618,FBgn0022986,FBgn0023170,FBgn0026372,FBgn0037686,FBgn0037899,FBgn0038834,FBgn0039757,FBgn0039857,FBgn0066084,FBgn0083987,FBgn0087039,FBgn0260441,FBgn0263018